ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Localidade_Venda,Metodo_Pagamento,Status_Pedido
TX_10001,2025-05-06 07:37:00,CLI_242,Smartphone,Eletrônicos,2581.6,5,Bom Despacho/MG/Brasil,Cartão de Crédito,Em Processamento
TX_10002,2025-02-17 07:27:00,CLI_338,Ficção Científica,Livros,1776.16,1,São Paulo/SP/Brasil,Boleto Bancário,Concluído
TX_10003,2025-10-29 09:29:00,CLI_928,Biografia,Livros,3044.51,2,Curitiba/PR/Brasil,Boleto Bancário,Cancelado
TX_10004,2025-04-21 11:29:00,CLI_204,Cafeteira,Casa,338.22,1,Rio de Janeiro/RJ/Brasil,Pix,Concluído
TX_10005,2025-10-02 04:15:00,CLI_487,Luminária,Casa,289.62,3,Curitiba/PR/Brasil,Boleto Bancário,Em Processamento
TX_10006,2025-01-24 22:34:00,CLI_333,Jogo de Cama,Casa,2709.14,1,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10007,2025-11-22 12:27:00,CLI_266,Desenvolvimento Pessoal,Livros,1305.08,2,Curitiba/PR/Brasil,Boleto Bancário,Concluído
TX_10008,2026-01-09 08:21:00,CLI_267,Notebook,Eletrônicos,1625.98,3,Salvador/BA/Brasil,Boleto Bancário,Em Processamento
TX_10009,2025-04-28 01:05:00,CLI_924,Tênis,Vestuário,1114.35,3,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10010,2025-07-22 21:56:00,CLI_569,Jogo de Cama,Casa,512.91,2,Curitiba/PR/Brasil,Cartão de Crédito,Em Processamento
TX_10011,2025-07-24 12:21:00,CLI_324,Cadeira Escritório,Casa,3490.68,2,Salvador/BA/Brasil,Boleto Bancário,Cancelado
TX_10012,2025-03-20 21:25:00,CLI_263,Smartphone,Eletrônicos,2775.4,4,São Paulo/SP/Brasil,Boleto Bancário,Concluído
TX_10013,2025-08-28 18:03:00,CLI_357,História,Livros,3399.21,1,Salvador/BA/Brasil,Boleto Bancário,Concluído
TX_10014,2025-05-31 14:50:00,CLI_261,Cafeteira,Casa,1596.23,3,São Paulo/SP/Brasil,Boleto Bancário,Concluído
TX_10015,2025-11-08 06:47:00,CLI_256,Fone de Ouvido,Eletrônicos,1318.09,2,Salvador/BA/Brasil,Boleto Bancário,Em Processamento
TX_10016,2025-01-10 03:49:00,CLI_471,Fone de Ouvido,Eletrônicos,3077.35,3,Curitiba/PR/Brasil,Cartão de Crédito,Concluído
TX_10017,2026-01-10 16:35:00,CLI_935,Camiseta,Vestuário,256.21,5,São Paulo/SP/Brasil,Cartão de Crédito,Concluído
TX_10018,2025-09-28 20:42:00,CLI_533,Biografia,Livros,3375.8,5,Bom Despacho/MG/Brasil,Boleto Bancário,Concluído
TX_10019,2025-08-13 17:39:00,CLI_562,Cadeira Escritório,Casa,436.7,2,Bom Despacho/MG/Brasil,Cartão de Crédito,Concluído
TX_10020,2025-04-23 00:14:00,CLI_172,Notebook,Eletrônicos,2481.83,1,Salvador/BA/Brasil,Cartão de Crédito,Concluído
TX_10021,2025-09-21 08:07:00,CLI_385,Fone de Ouvido,Eletrônicos,2346.39,2,São Paulo/SP/Brasil,Boleto Bancário,Concluído
